"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"reannotate_1773","dormancy process","GO:0022611","0.0002632993312004123","3.5795502440323266","8","1108","4","129949","P9WG27,P9WG29,P9WMF9,P9WMH7"
"reannotate_1773","aromatic amino acid family biosynthetic process","GO:0009073","0.0003082585246426061","3.511084904500105","256","1108","13","129949","O53512,P9WFX1,P9WIC3,P9WPY3,P9WPY5,P9WFX5,P9WMM5,P9WPX9,P9WFX3,P9WFX7,P9WFX9,P9WFY1,P9WN35"
"reannotate_1773","glutamine metabolic process","GO:0006541","0.000320408099601291","3.4942965139121287","347","1108","15","129949","P9WHK7,P9WI73,P9WMS7,P9WN39,P9WPK3,P96218,P9WHQ7,P9WN37,P9WN49,P9WPK5,P9WHL5,P9WMM1,P9WN33,P9WN35,P9WP97"
"reannotate_1773","IMP biosynthetic process","GO:0006188","0.000346553828984552","3.4602292983818113","217","1108","12","129949","P9WHQ9,P9WHL7,P9WHM5,P9WHQ7,P9WKI3,P9WHL5,P9WHL9,P9WHM3,P9WHM7,P9WHM9,P9WHM1,P9WHN1"
"reannotate_1773","quinone binding","GO:0048038","0.000346553828984552","3.4602292983818113","217","1108","12","129949","P9WIV9,P9WIV5,P9WIV7,P9WIW1,P9WIW5,P9WIW9,P9WIX1,P9WIX3,P9WJG9,P9WJH1,P9WJH3,P9WJH5"
"reannotate_1773","intracellular chemical homeostasis","GO:0055082","0.0003639121613397969","3.4390034307712414","218","1108","12","129949","P71716,P9WFX1,P9WK09,P9WMK7,P9WNE5,P9WQ63,P9WQE9,P9WQJ7,P9WQJ9,P9WPI3,O69730,P9WI03"
"reannotate_1773","mRNA metabolic process","GO:0016071","0.0003932689161694594","3.405310378709921","144","1108","10","129949","P71905,P9WIH9,P9WII3,P71650,P9WH03,P9WII5,P0CL62,P95272,P9WHP7,P9WII1"
"reannotate_1773","NAD metabolic process","GO:0019674","0.0004313016031007711","3.365218927626075","182","1108","11","129949","P9WHV7,P9WID7,P9WJJ3,P9WIX5,P9WJI7,P9WJI9,P9WJJ7,P9WJJ5,P9WJJ9,P9WJK1,P9WK13"
"reannotate_1773","amide binding","GO:0033218","0.00043337473466853053","3.3631364112300455","508","1108","18","129949","A0A089QRB9,I6X8D2,I6XD69,I6YFP0,L0T911,O53901,P71707,P96202,P96285,P9WKD1,P9WP21,P9WQ61,P9WQ63,P9WQE1,P9WQE3,P9WQE5,P9WQE9,Q10896"
"reannotate_1773","cellular response to environmental stimulus","GO:0104004","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","L0TC47,P9WJM7,P9WMJ3"
"reannotate_1773","cellular response to acidic pH","GO:0071468","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","L0TC47,P9WJM7,P9WMJ3"
"reannotate_1773","DNA protection","GO:0042262","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WIP7,P9WMK7,P9WPE9"
"reannotate_1773","coenzyme gamma-F420-2 biosynthetic process","GO:2001121","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WP79,P9WP77,P9WP81"
"reannotate_1773","deoxyribonucleotide binding","GO:0032552","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WID5,P9WMQ1,P9WPA3"
"reannotate_1773","galactosyltransferase activity","GO:0008378","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","O53585,P9WMX3,P9WN03"
"reannotate_1773","cellular response to pH","GO:0071467","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","L0TC47,P9WJM7,P9WMJ3"
"reannotate_1773","purine deoxyribonucleotide binding","GO:0032554","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WID5,P9WMQ1,P9WPA3"
"reannotate_1773","negative regulation of binding","GO:0051100","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WHW5,P9WI79,P9WI81"
"reannotate_1773","cellular response to abiotic stimulus","GO:0071214","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","L0TC47,P9WJM7,P9WMJ3"
"reannotate_1773","carbon monoxide binding","GO:0070025","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WGK1,P9WGK3,P9WPP7"
"reannotate_1773","tricarboxylic acid biosynthetic process","GO:0072351","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WP79,P9WP77,P9WP81"
"reannotate_1773","coenzyme gamma-F420-2 metabolic process","GO:0052649","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WP79,P9WP77,P9WP81"
"reannotate_1773","cell wall polysaccharide biosynthetic process","GO:0070592","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","O53585,P9WGS9,P9WJF1"
"reannotate_1773","pentitol phosphate metabolic process","GO:0052647","0.00045456375149952424","3.3424051993884327","3","1108","3","129949","P9WP79,P9WP77,P9WP81"
"reannotate_1773","calcium ion binding","GO:0005509","0.0004577917429307814","3.339332044846137","20","1108","5","129949","O69729,P96368,P9WGK1,P9WGM1,P9WQ19"
"reannotate_1773","porin activity","GO:0015288","0.0004707211657591311","3.327236273404189","9","1108","4","129949","O05442,P9WIU5,P9WKQ1,P9WJ83"
"reannotate_1773","wide pore channel activity","GO:0022829","0.0004707211657591311","3.327236273404189","9","1108","4","129949","O05442,P9WIU5,P9WKQ1,P9WJ83"
"reannotate_1773","glutamine family amino acid biosynthetic process","GO:0009084","0.0004907261617502845","3.309160788155389","359","1108","15","129949","O33289,P9WN39,P9WPK3,P9WPZ3,P96218,P9WIT9,P9WN37,P9WPK5,P9WQ01,P9WHU7,P9WHU9,P9WHV1,P9WN19,P9WPW7,P9WPZ9"
