Sample	Bacillariophyta	Bolidophyceae	Chrysophyceae	Dictyochophyceae	Pelagophyceae	Phaeophyceae	Pinguiophyceae	Raphidophyceae	Strameno_all	Photo_all	depth_level	station	template	fraction	ntags	Month	Latitude	Longitude	sampling_depth	date	chloro_hplc	tara_NO2	tara_PO4	NO2NO3	tara_SI	tara_temp	tara_salinity
TV9_281	43123	0	204	247	13	0	3	0	43590	44622	DCM	22	D	20-180	1115559	nov	39.824	17.4034	31.1477	16-Nov-2009 16:51:04	0.25794	-0.151	0.012	-0.449	0.799	18.433	38.030
TV9_285	26807	0	64	689	2	1	2	0	27565	29351	SUR	22	D	20-180	2035843	nov	39.824	17.4034	5.47183	16-Nov-2009 08:06:26	0.180911	0.102	0.023	0.214	2.059	18.381	38.091
TV9_132	1987	0	0	5	4	0	0	0	1996	2020	DCM	23	D	5-20	1416570	nov	42.20535	17.71401667	55	18-Nov-2009 15:32:48	0.177404	0.013	0.012	0.050	1.051	15.955	38.303
TV9_128	13979	21	796	1104	90	39	11	0	16040	20213	SUR	23	D	5-20	1477948	nov	42.20535	17.71401667	3	18-Nov-2009 10:33:13	0.138686	-0.001	0.015	0.079	1.430	17.172	38.224
TV9_133	11585	420	7107	12554	25624	1754	1	8	59053	127786	DCM	23	D	0.8-5	1558520	nov	42.20535	17.71401667	55	18-Nov-2009 15:32:48	0.177404	0.013	0.012	0.050	1.051	15.955	38.303
TV9_129	4172	1170	37901	40802	3421	2206	14	4	89690	233686	SUR	23	D	0.8-5	1895742	nov	42.20535	17.71401667	3	18-Nov-2009 10:33:13	0.138686	-0.001	0.015	0.079	1.430	17.172	38.224
TV9_131	14874	1	95	100	34	3	1	0	15108	15349	DCM	23	D	180-2000	1820425	nov	42.20535	17.71401667	50	18-Nov-2009 15:32:48	0.177404	0.013	0.012	0.050	1.051	15.955	38.303
TV9_127	2442	0	3	7	5	4	1	0	2462	2555	SUR	23	D	180-2000	1158540	nov	42.20535	17.71401667	3	18-Nov-2009 10:33:13	0.138686	-0.001	0.015	0.079	1.430	17.172	38.224
TV9_134	12314	19	844	317	287	0	144	0	13925	17313	DCM	23	WGA/D	20-180	2157383	nov	42.20535	17.71401667	50	18-Nov-2009 15:32:48	0.177404	0.013	0.012	0.050	1.051	15.955	38.303
TV9_130	8602	15	543	1116	638	65	3	0	10982	13967	SUR	23	D	20-180	1760816	nov	42.20535	17.71401667	3	18-Nov-2009 10:33:13	0.138686	-0.001	0.015	0.079	1.430	17.172	38.224
TV9_289	51	0	3	8	0	2	1	0	65	100	SUR	24	D	180-2000	1671407	nov	42.4569	17.9521	5.43471	21-Nov-2009 12:33:32	0.185275	0.015	0.007	0.086	2.793	18.165	37.488
TV9_288	11089	0	94	391	12	2	2	0	11590	11984	SUR	24	D	20-180	1231161	nov	42.4569	17.9521	5.43471	21-Nov-2009 12:33:32	0.185275	0.015	0.007	0.086	2.793	18.165	37.488
TV9_114	4383	3	200	357	22	11	4	1	4981	5985	DCM	25	WGA/D	5-20	1125653	nov	39.38875	19.3905	50	23-Nov-2009 12:40:47	0.201016	0.068	0.073	0.154	1.823	15.195	38.481
TV9_110	8980	0	52	150	4	0	0	0	9186	9827	SUR	25	D	5-20	1821186	nov	39.38875	19.3905	3	23-Nov-2009 09:14:21	0.121845	0.005	0.008	0.018	1.044	18.352	38.189
TV9_115	2002	149	10088	12781	28320	721	2	12	54075	92511	DCM	25	D	0.8-5	1457119	nov	39.38875	19.3905	50	23-Nov-2009 12:40:47	0.201016	0.068	0.073	0.154	1.823	15.195	38.481
TV9_111	2474	1451	26681	41752	2217	1531	1	18	76125	154058	SUR	25	D	0.8-5	1476962	nov	39.38875	19.3905	3	23-Nov-2009 09:14:21	0.121845	0.005	0.008	0.018	1.044	18.352	38.189
TV9_113	509	0	1	0	4	0	0	0	514	545	DCM	25	D	180-2000	1948018	nov	39.38875	19.3905	50	23-Nov-2009 12:40:47	0.201016	0.068	0.073	0.154	1.823	15.195	38.481
TV9_109	82	0	3	5	1	0	0	0	91	102	SUR	25	D	180-2000	1424203	nov	39.38875	19.3905	3	23-Nov-2009 09:14:21	0.121845	0.005	0.008	0.018	1.044	18.352	38.189
TV9_116	23578	0	199	237	63	1	0	0	24078	24892	DCM	25	D	20-180	1951559	nov	39.38875	19.3905	50	23-Nov-2009 12:40:47	0.201016	0.068	0.073	0.154	1.823	15.195	38.481
TV9_112	21432	0	87	183	17	0	0	0	21719	21870	SUR	25	D	20-180	1464145	nov	39.38875	19.3905	3	23-Nov-2009 09:14:21	0.121845	0.005	0.008	0.018	1.044	18.352	38.189
TV9_292	657	1	83	63	5	6	17	0	832	1038	SUR	26	D	180-2000	1077971	nov	38.4681	20.1744	5.4175	24-Nov-2009 07:50:53	0.121845	0.006	0.009	0.009	1.032	18.989	38.339
TV9_291	11697	0	20	89	10	1	7	0	11824	12154	SUR	26	D	20-180	1600301	nov	38.4681	20.1744	5.4175	24-Nov-2009 07:50:53	0.121845	0.006	0.009	0.009	1.032	18.989	38.339
