name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_G.txt_num	CD_7_long.contigs.assembly.bracken_G.txt_frac	CD_7_short.contigs.assembly.bracken_G.txt_num	CD_7_short.contigs.assembly.bracken_G.txt_frac	CD_7_short.scaffolds.assembly.bracken_G.txt_num	CD_7_short.scaffolds.assembly.bracken_G.txt_frac	TD_31_short.contigs.assembly.bracken_G.txt_num	TD_31_short.contigs.assembly.bracken_G.txt_frac	TD_31_short.scaffolds.assembly.bracken_G.txt_num	TD_31_short.scaffolds.assembly.bracken_G.txt_frac	TD_92_long.contigs.assembly.bracken_G.txt_num	TD_92_long.contigs.assembly.bracken_G.txt_frac	TD_92_short.contigs.assembly.bracken_G.txt_num	TD_92_short.contigs.assembly.bracken_G.txt_frac	TD_92_short.scaffolds.assembly.bracken_G.txt_num	TD_92_short.scaffolds.assembly.bracken_G.txt_frac
Aeromonas	642	G	0	0.00000	12	0.00064	11	0.00059	18	0.00174	17	0.00166	0	0.00000	14	0.00135	14	0.00142
Rhizobium	379	G	0	0.00000	33	0.00175	33	0.00177	22	0.00213	21	0.00205	0	0.00000	0	0.00000	0	0.00000
Sinorhizobium	28105	G	0	0.00000	77	0.00408	77	0.00413	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paracoccus	265	G	0	0.00000	121	0.00640	119	0.00639	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Azospirillum	191	G	0	0.00000	21	0.00111	21	0.00113	10	0.00097	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Burkholderia	32008	G	0	0.00000	19	0.00101	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Pusillibacter	2892397	G	0	0.00000	132	0.00699	131	0.00703	106	0.01026	106	0.01037	0	0.00000	59	0.00569	59	0.00599
Clostridium	1485	G	0	0.00000	253	0.01339	250	0.01342	129	0.01249	128	0.01252	0	0.00000	84	0.00810	82	0.00832
Butyricicoccus	580596	G	0	0.00000	24	0.00127	24	0.00129	0	0.00000	0	0.00000	0	0.00000	18	0.00174	18	0.00183
Roseburia	841	G	0	0.00000	38	0.00201	37	0.00199	43	0.00416	43	0.00421	0	0.00000	22	0.00212	22	0.00223
Butyrivibrio	830	G	0	0.00000	23	0.00122	23	0.00124	33	0.00320	33	0.00323	0	0.00000	0	0.00000	0	0.00000
Blautia	572511	G	0	0.00000	30	0.00159	30	0.00161	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sporofaciens	2811390	G	0	0.00000	10	0.00053	10	0.00054	11	0.00107	11	0.00108	0	0.00000	0	0.00000	0	0.00000
Clostridioides	1870884	G	0	0.00000	258	0.01365	257	0.01380	365	0.03534	363	0.03550	0	0.00000	121	0.01167	121	0.01228
Paraclostridium	1849822	G	0	0.00000	38	0.00201	38	0.00204	34	0.00329	33	0.00323	0	0.00000	0	0.00000	0	0.00000
Monoglobus	2039302	G	0	0.00000	169	0.00894	166	0.00891	167	0.01617	166	0.01624	0	0.00000	56	0.00540	55	0.00558
Enterococcus	1350	G	0	0.00000	275	0.01455	273	0.01466	605	0.05858	606	0.05927	40	0.11331	1731	0.16700	1641	0.16648
Streptococcus	1301	G	0	0.00000	52	0.00275	52	0.00279	258	0.02498	258	0.02523	0	0.00000	402	0.03878	389	0.03946
Lactococcus	1357	G	0	0.00000	48	0.00254	48	0.00258	77	0.00746	76	0.00743	0	0.00000	38	0.00367	38	0.00386
Lactiplantibacillus	2767842	G	0	0.00000	25	0.00132	25	0.00134	0	0.00000	0	0.00000	0	0.00000	46	0.00444	44	0.00446
Bacillus	1386	G	0	0.00000	42	0.00222	42	0.00226	40	0.00387	39	0.00381	0	0.00000	102	0.00984	104	0.01055
Paenibacillus	44249	G	0	0.00000	12	0.00064	12	0.00064	15	0.00145	15	0.00147	0	0.00000	0	0.00000	0	0.00000
Staphylococcus	1279	G	0	0.00000	94	0.00497	94	0.00505	68	0.00658	68	0.00665	0	0.00000	43	0.00415	43	0.00436
Actinomyces	1654	G	0	0.00000	86	0.00455	86	0.00462	33	0.00320	33	0.00323	0	0.00000	73	0.00704	73	0.00741
Tsukamurella	2060	G	0	0.00000	60	0.00318	60	0.00322	48	0.00465	48	0.00469	0	0.00000	41	0.00396	41	0.00416
Nocardia	1817	G	0	0.00000	12	0.00064	12	0.00064	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Streptomyces	1883	G	0	0.00000	26	0.00138	26	0.00140	0	0.00000	0	0.00000	0	0.00000	20	0.00193	20	0.00203
Cutibacterium	1912216	G	0	0.00000	89	0.00471	89	0.00478	29	0.00281	29	0.00284	0	0.00000	0	0.00000	0	0.00000
Nonomuraea	83681	G	0	0.00000	18	0.00095	18	0.00097	10	0.00097	10	0.00098	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium	1678	G	0	0.00000	15	0.00079	15	0.00081	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
